number,title,cluster,proposedMilestone,proposedHorizon,severity,recommendedDisposition,dependencies,url
201,"Data Charter v2: layered classes (C0–C4/P/X), capability profiles, sink rules",activation-storage,v0.3-safe-activation,next,critical,schedule-next,#174,https://github.com/Chris0Jeky/developer-lens/issues/201
202,Pre-activation readiness programme: consolidate #5 #6 #59 #57 with discriminating tests,activation-storage,v0.3-safe-activation,later,critical,park-with-trigger,#201,https://github.com/Chris0Jeky/developer-lens/issues/202
203,Query system programme: automatic recommendations + deterministic Query Lab + manual Luna,future-product,v0.4-query-distribution,later,high,park-with-trigger,#174,https://github.com/Chris0Jeky/developer-lens/issues/203
204,"Team/Leadership aggregate mode (transparent, separately enabled)",future-product,v0.5-team,later,medium,park-with-trigger,#174,https://github.com/Chris0Jeky/developer-lens/issues/204
205,"Distribution ladder: gh launcher, npm CLI, casual-bootstrap desktop shell",future-product,v0.4-query-distribution,later,medium,park-with-trigger,#200,https://github.com/Chris0Jeky/developer-lens/issues/205
207,verify:context: parse governor.yaml as YAML instead of key-spelling checks,governance-context,maintenance,later,medium,park-with-trigger,,https://github.com/Chris0Jeky/developer-lens/issues/207
208,"Governor follow-ups from Codex #206 sweep: release-prompt authority reads, post-merge sweep window, dl-reviewer invariant lenses, P1 real-data gating note",governance-context,maintenance,later,medium,park-with-trigger,,https://github.com/Chris0Jeky/developer-lens/issues/208
216,Prompt OS post-review hardening (non-blocking),governance-context,maintenance,later,low,park-with-trigger,,https://github.com/Chris0Jeky/developer-lens/issues/216
217,Investigate browser node:crypto externalization and oversized main chunk warnings,platform-hardening,v0.2-evidence-flagship,later,medium,park-with-trigger,,https://github.com/Chris0Jeky/developer-lens/issues/217
221,Reconcile merged-branch cleanup with the branch-deletion rule,release-truth,v0.1-release,later,medium,park-with-trigger,,https://github.com/Chris0Jeky/developer-lens/issues/221
222,Add Windows-safe governor maintenance helpers for recurrent proof and cleanup checks,platform-hardening,maintenance,later,medium,park-with-trigger,,https://github.com/Chris0Jeky/developer-lens/issues/222
243,Count every root-level Markdown fence in current-state validation,governance-context,maintenance,later,low,park-with-trigger,,https://github.com/Chris0Jeky/developer-lens/issues/243
246,Friction log: fold recurring frictions into occurrence updates on existing entries,governance-context,maintenance,later,low,park-with-trigger,,https://github.com/Chris0Jeky/developer-lens/issues/246
257,Harden residual tracked-text guard compatibility,platform-hardening,maintenance,later,medium,park-with-trigger,,https://github.com/Chris0Jeky/developer-lens/issues/257
293,FR-050 root cause: Windows 8.3 short-path TMP breaks storage-v3 artifact-root identity checks,platform-hardening,v0.2-evidence-flagship,later,high,park-with-trigger,,https://github.com/Chris0Jeky/developer-lens/issues/293
294,Empty local node_modules/.bin let a foreign repository's tsc run npm run build and produce a false red,platform-hardening,v0.2-evidence-flagship,later,high,park-with-trigger,,https://github.com/Chris0Jeky/developer-lens/issues/294
298,v0.1.0 release-prep branch release/prepare-product-v0.1.0-20260818 (54217ff) is unrecoverable,release-truth,v0.1-release,later,medium,park-with-trigger,#200,https://github.com/Chris0Jeky/developer-lens/issues/298
300,Headless export: untested post-write cleanup branch and two low-severity argument/IO edges,platform-hardening,v0.2-contracts,later,medium,park-with-trigger,,https://github.com/Chris0Jeky/developer-lens/issues/300
304,"Publish PublicLensProjection.v1: schema, C0 fixture, registries, and export-profile",contract-system,v0.2-contracts,candidate-now,critical,promote-after-release,,https://github.com/Chris0Jeky/developer-lens/issues/304
313,Reconcile remaining 14-role taxonomy references,governance-context,maintenance,later,low,park-with-trigger,,https://github.com/Chris0Jeky/developer-lens/issues/313
315,Reconcile retrieval-ladder sequencing and rung-2 acceptance,frozen-research,research-later,later,medium,park-with-trigger,,https://github.com/Chris0Jeky/developer-lens/issues/315
317,Finish Gate B register and curated capability consistency,governance-context,v0.3-safe-activation,later,medium,park-with-trigger,#201,https://github.com/Chris0Jeky/developer-lens/issues/317
318,researchFinding README registry test fails on Windows checkouts (CRLF),contract-system,v0.2-contracts,candidate-now,medium,promote-after-release,,https://github.com/Chris0Jeky/developer-lens/issues/318
319,ResearchFinding v1 cannot derive four of its seven exported gates,contract-system,v0.2-contracts,candidate-now,high,promote-after-release,,https://github.com/Chris0Jeky/developer-lens/issues/319
320,model_promotion claim text is reject-specific but admissible on every outcome,contract-system,v0.2-contracts,candidate-now,medium,promote-after-release,,https://github.com/Chris0Jeky/developer-lens/issues/320
321,ResearchFinding v1 and MethodTrialView v1 disagree on false_alert_improvement,contract-system,v0.2-contracts,candidate-now,high,promote-after-release,,https://github.com/Chris0Jeky/developer-lens/issues/321
324,safeParse throws on lone surrogates instead of reporting a validation issue,contract-system,v0.2-contracts,candidate-now,high,promote-after-release,,https://github.com/Chris0Jeky/developer-lens/issues/324
325,DENIED_TOKEN misses RFC 5321 address literals and emoji-domain emails,contract-system,v0.2-contracts,candidate-now,medium,promote-after-release,,https://github.com/Chris0Jeky/developer-lens/issues/325
326,ResearchFinding: whitespace-only finding prose passes min(1),contract-system,v0.2-contracts,candidate-now,medium,promote-after-release,,https://github.com/Chris0Jeky/developer-lens/issues/326
327,ResearchFinding: thresholds_nonviable limitation admitted alongside passing selection gates,contract-system,v0.2-contracts,candidate-now,high,promote-after-release,#319,https://github.com/Chris0Jeky/developer-lens/issues/327
